iter	Accuracy	MultiClass
92	0.7754126846	0.4921198155
93	0.7760642919	0.491665048
94	0.7760642919	0.4913188527
95	0.7766615986	0.4901463621
96	0.7768245004	0.489789081
97	0.7774218071	0.4891178983
98	0.7771503041	0.4883836573
99	0.7798653345	0.4859995071
100	0.7808427454	0.4849784815
101	0.7815486533	0.4840439919
102	0.7820373588	0.4834854781
103	0.7823088619	0.4827470109
104	0.7837206777	0.4810916368
105	0.7852410947	0.479804389
106	0.7859470026	0.4794911687
107	0.7883362294	0.4770369902
108	0.7903996525	0.4754351708
109	0.7917571677	0.4740562699
110	0.7921372719	0.4731957863
111	0.7932232841	0.4720023572
112	0.7943092963	0.4702299462
113	0.7951238054	0.4696834265
114	0.7968614248	0.4680190675
115	0.797947437	0.4662916459
116	0.7978388358	0.4651342229
117	0.7982189401	0.4646990843
118	0.7992506516	0.4627754449
119	0.8010425717	0.4609829245
120	0.8025629887	0.4595066601
121	0.80446351	0.4576745522
122	0.8051694179	0.4571870568
123	0.8054952215	0.4558867476
124	0.8064183319	0.455051386
125	0.8071785404	0.4534337222
126	0.8096763684	0.4516061714
127	0.8102193745	0.4504126994
128	0.8108709818	0.4497269727
129	0.8109252824	0.4480138729
130	0.8113596872	0.4467352953
131	0.8120112945	0.4460414973
132	0.8132602085	0.444711893
133	0.8136403128	0.4440491459
134	0.8141833189	0.4434644432
135	0.8149435274	0.4428820468
136	0.8153236316	0.442023148
137	0.8155951347	0.4415288353
138	0.8167354474	0.4408457681
139	0.8171698523	0.4403513663
140	0.8172784535	0.4397058123
141	0.8172784535	0.439431553
142	0.8177128584	0.4388514657
143	0.819016073	0.4378445303
144	0.8192332754	0.4373117921
145	0.8203192876	0.4368317132
146	0.8206993918	0.436291848
147	0.821785404	0.4349514671
148	0.8223827107	0.4342210938
149	0.8231972198	0.4329546334
150	0.8235773241	0.4325416741
151	0.8243918332	0.4312871361
152	0.824283232	0.4309190926
153	0.8254235447	0.4300293159
154	0.8266181581	0.4283915095
155	0.8267810599	0.4277702455
156	0.8272154648	0.427389645
157	0.8280842745	0.4259027017
158	0.8292788879	0.4249208927
159	0.829550391	0.4240647755
160	0.8305821025	0.4232615543
161	0.8314509123	0.4228189693
162	0.8316681147	0.4223901545
163	0.8325369244	0.4217925791
164	0.8321025195	0.4212128635
165	0.8333514335	0.4205855995
166	0.8330799305	0.420079044
167	0.8331885317	0.4188453622
168	0.8333514335	0.4185454007
169	0.8336229366	0.4180448617
170	0.8334057341	0.4175973427
171	0.8336229366	0.4169627631
172	0.8339487402	0.4164131082
173	0.8351433536	0.4151219175
174	0.8360121633	0.4144640398
175	0.8360664639	0.4141753718
176	0.8367180712	0.4131826711
177	0.8373696785	0.4128878433
178	0.8373696785	0.412436744
179	0.8376954822	0.4121470776
180	0.8380212858	0.4109571143
181	0.839107298	0.4101691724
182	0.8395417029	0.4099621654
183	0.8397046047	0.4095140483
184	0.8399761077	0.4090810994
185	0.8402476108	0.4085501013
186	0.8410621199	0.4073873186
187	0.8421481321	0.4069417467
188	0.8425825369	0.4060383091
189	0.8437771503	0.404818452
190	0.8439943527	0.4044461077
191	0.84464596	0.4038151013
192	0.8454604692	0.4034578902
193	0.8459491746	0.4030533614
194	0.8463292789	0.4027455024
195	0.8473066898	0.4022378571
196	0.8471980886	0.401891166
197	0.8474695917	0.4010718354
198	0.8476324935	0.4001070708
199	0.848121199	0.3991821137
200	0.848664205	0.3985798838
201	0.8482298002	0.397715653
202	0.849641616	0.3970789071
203	0.8494787142	0.3967618014
204	0.8497502172	0.3963669887
205	0.849913119	0.3959281867
206	0.8500760209	0.395337379
207	0.8507276281	0.3941236881
208	0.8507819288	0.3938750841
209	0.8510534318	0.39335732
210	0.8520851434	0.3930314929
211	0.8523023458	0.3925569633
212	0.8526281494	0.3922304839
213	0.8527910513	0.3918771169
214	0.8528996525	0.3914554934
215	0.8531711555	0.3912385046
216	0.8535512598	0.3909981508
217	0.8537684622	0.3907641774
218	0.8539856646	0.3904873493
219	0.8542028671	0.3901278506
220	0.8544743701	0.389954086
221	0.8545829713	0.3896450693
222	0.8545286707	0.3893431618
223	0.8548001738	0.3889692057
224	0.8550173762	0.3880293734
225	0.855180278	0.3875044783
226	0.8559947871	0.3872543493
227	0.856429192	0.3869714585
228	0.8568635969	0.3867141451
229	0.8573523023	0.3863632047
230	0.8576238054	0.3855706438
231	0.8578953084	0.3853110937
232	0.8582211121	0.3849574797
233	0.8587641182	0.3847910743
234	0.8590356212	0.3838761874
235	0.8594157255	0.3828956895
236	0.8599044309	0.3823741003
237	0.860447437	0.3820859929
238	0.8608275413	0.381650407
239	0.8614791486	0.3813451519
240	0.8611533449	0.3810939051
241	0.861424848	0.3804499574
242	0.8624565595	0.379445008
243	0.8627823632	0.3791845736
244	0.8631081668	0.3789889455
245	0.8631081668	0.3788464587
246	0.8633253692	0.3785725495
247	0.8639226759	0.3782522242
248	0.8634339705	0.3780989747
249	0.8635425717	0.3778361391
250	0.864194179	0.3776150319
251	0.8645199826	0.3764232948
252	0.8643570808	0.376002204
253	0.8646285838	0.3757654974
254	0.864194179	0.3751919396
255	0.8645742832	0.3747358623
256	0.8650629887	0.3745311697
257	0.8651172893	0.3738492052
258	0.8659317984	0.3735887449
259	0.8660403997	0.37336434
260	0.8663119027	0.3725446014
261	0.866692007	0.3720409997
262	0.8669092094	0.3718138949
263	0.8683210252	0.3712573393
264	0.868212424	0.370978239
265	0.8683210252	0.3706284819
266	0.8688640313	0.3702968632
267	0.8689726325	0.3700122908
268	0.8691898349	0.3698293456
269	0.8694070374	0.3689492666
270	0.8697871416	0.3681031906
271	0.8701129453	0.3678645168
272	0.8702215465	0.3672086958
273	0.8705473501	0.3666186424
